#{"t_start": 1754642765.804988, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
205.0,2503,167.558079
420.0,4691,169.982883
105.0,1933,170.96379
140.0,1989,171.96924
50.0,1175,172.566196
50.0,1913,173.553528
175.0,3061,175.145268
405.0,4577,177.45081
490.0,3599,179.296552
310.0,3221,180.966355
55.0,1571,181.754734
115.0,1883,182.779779
325.0,3269,184.67448
215.0,1967,185.677455
345.0,3469,187.522903
80.0,1655,193.025943
130.0,2719,194.459441
260.0,3797,196.493241
115.0,1529,197.299377
265.0,2375,198.557649
270.0,2301,199.756917
130.0,2441,201.087012
345.0,3313,202.938148
275.0,3505,204.813828
40.0,1223,205.472301
285.0,3133,207.137753
110.0,2375,208.403061
320.0,3179,210.089749
230.0,3813,212.272639
250.0,2833,213.798513
560.0,4207,216.065842
225.0,2323,217.303054
275.0,2818,218.82794
505.0,4439,221.215123
275.0,3261,222.950053
405.0,4433,225.419657
350.0,3647,227.357044
265.0,3073,228.99044
220.0,2565,230.37186
175.0,2031,231.463789
115.0,1695,232.371841
395.0,4341,234.900497
140.0,1939,235.937404
310.0,2451,237.265946
200.0,2065,238.374413
560.0,3503,240.238446
190.0,2305,241.508162
150.0,1961,242.698078
85.0,1159,243.31304
580.0,2963,244.916587
25.0,1183,245.579623
165.0,2431,246.908834
235.0,2557,251.396977
255.0,2505,252.723382
230.0,2471,254.012139
220.0,2621,255.415246
445.0,2689,256.840762
305.0,3551,258.710181
210.0,2957,260.265862
110.0,1827,261.238019
140.0,1871,262.244939
365.0,4053,264.386164
315.0,2445,265.694151
120.0,1611,266.52378
35.0,1093,267.079025
110.0,1953,268.146256
810.0,5063,270.784773
185.0,2955,272.358237
225.0,2349,273.589198
140.0,1229,274.222914
60.0,1523,275.024267
570.0,4419,277.302684
345.0,2818,278.783742
195.0,1877,279.771772
180.0,1907,280.790267
260.0,2873,282.295506
190.0,2541,283.676593
340.0,3327,285.441745
175.0,2029,286.507026
210.0,2433,287.795688
70.0,1609,288.656233
195.0,1971,289.707405
160.0,1979,290.744177
235.0,2417,292.059399
565.0,4315,294.269721
210.0,2523,295.620786
155.0,1907,296.627029
95.0,2227,297.781161
655.0,5747,300.787022
230.0,2083,301.882183
300.0,2733,303.339229
265.0,2789,308.687052
230.0,3969,310.835757
160.0,1971,311.886527
180.0,1913,312.954142
305.0,3431,314.797036
290.0,3191,316.472173
420.0,3937,318.528024
265.0,2691,319.972004
380.0,2643,321.356296
305.0,3033,322.964417
610.0,3305,324.726386
40.0,1131,325.332518
110.0,2119,326.456731
410.0,2581,327.802053
480.0,2873,329.309209
75.0,1231,329.944693
120.0,1963,331.001535
270.0,2559,332.337791
245.0,2303,333.572777
375.0,3633,335.503143
75.0,1061,336.04828
325.0,3661,337.974248
220.0,2091,339.047404
450.0,4775,341.562846
220.0,2405,342.863224
265.0,2845,344.333518
215.0,1949,345.342776
215.0,2329,346.557291
155.0,2015,347.629636
220.0,2113,348.726481
145.0,2275,349.931081
185.0,1875,350.907592
30.0,1357,351.618738
215.0,3479,353.502852
185.0,1965,354.585813
325.0,3725,356.575606
90.0,1739,357.486407
350.0,2433,358.75451
150.0,2309,359.959019
250.0,2505,361.296774
150.0,2445,365.53171
130.0,1917,366.620973
535.0,3185,368.282713
130.0,1857,369.260133
165.0,1893,370.247959
260.0,2337,371.462991
140.0,1647,372.337132
275.0,2703,373.768763
120.0,1829,374.727215
150.0,1875,375.721191
75.0,1169,376.362415
255.0,2217,377.52788
110.0,1703,378.438325
195.0,2323,379.662212
150.0,2135,380.804644
90.0,1635,381.674864
305.0,3509,383.536707
370.0,3379,385.330179
85.0,1909,386.351394
250.0,2179,387.519564
520.0,3273,389.243963
300.0,2591,390.631959
90.0,1511,391.447085
190.0,2021,392.536437
190.0,1695,393.45513
300.0,2681,394.853508
180.0,3463,396.731326
65.0,1599,397.571423
100.0,1915,398.608244
780.0,3799,400.632143
90.0,1357,401.356296
235.0,2129,402.464993
110.0,1185,403.102136
60.0,2025,404.189938
175.0,1823,405.135853
380.0,2819,406.616428
390.0,3515,408.460271
185.0,1895,409.455575
190.0,2269,410.711232
55.0,1271,411.397533
380.0,3047,412.999405
330.0,3179,414.701637
485.0,2793,416.182425
170.0,1961,417.22691
555.0,2731,418.64618
205.0,2349,423.474039
430.0,3379,425.246013
200.0,2333,426.463321
420.0,2395,427.728747
90.0,1135,428.325052
140.0,2051,429.416485
115.0,1067,429.977642
260.0,2309,431.208687
200.0,2141,432.313948
165.0,2229,433.514032
285.0,3011,435.066431
155.0,2077,436.13438
185.0,1987,437.163677
175.0,1971,438.204176
160.0,1515,438.9965
225.0,2019,440.078526
680.0,4045,442.16857
295.0,4355,444.540454
330.0,2807,445.992224
460.0,3083,447.607309
475.0,3579,449.469722
230.0,2599,450.838639
135.0,1863,451.815365
325.0,3497,453.639084
215.0,2683,455.062085
570.0,3429,456.867892
125.0,1925,457.930975
70.0,1683,458.884222
285.0,2629,460.270379
335.0,3653,462.205348
195.0,2421,463.489577
150.0,2049,464.637546
325.0,2669,466.040999
315.0,2519,467.373139
255.0,3431,469.181011
375.0,3175,470.837223
205.0,2853,472.358838
310.0,2675,473.785911
240.0,3025,475.383064
250.0,2151,476.526998
245.0,3299,481.549324
350.0,3139,483.224205
110.0,1127,483.834836
265.0,3015,485.442087
200.0,1953,486.447592
575.0,4167,488.629946
270.0,3097,490.253187
100.0,1495,491.036347
255.0,2725,492.438071
305.0,3135,494.064923
275.0,2987,495.67313
230.0,2571,497.030787
65.0,1125,497.610951
315.0,3017,499.17128
345.0,3443,500.96448
20.0,955,501.458634
75.0,1451,502.230244
170.0,1935,503.239936
120.0,1687,504.112669
150.0,1627,504.957516
80.0,1417,505.709231
185.0,3517,507.543179
205.0,2113,508.658263
310.0,4005,510.783058
155.0,1573,511.621491
225.0,2407,512.902396
335.0,3241,514.652482
545.0,4079,516.824939
190.0,2233,517.998397
200.0,2053,519.063515
145.0,2373,520.328784
190.0,2231,521.500666
270.0,2663,522.876942
95.0,1573,523.74422
425.0,4805,526.361698
135.0,1541,527.156946
170.0,2079,528.259549
360.0,3627,530.155217
180.0,1947,531.184546
425.0,2927,532.719167
165.0,2293,536.936275
175.0,2101,538.042958
85.0,1675,538.937932
170.0,2485,540.265849
215.0,2867,541.78398
285.0,2995,543.398247
225.0,2635,544.812902
185.0,2075,545.900565
150.0,1913,546.890133
55.0,1487,547.683414
165.0,2527,549.029422
235.0,2325,550.250485
165.0,2093,551.402996
90.0,1189,552.02386
150.0,1907,553.050412
180.0,1925,554.060708
855.0,3907,556.097173
95.0,1803,557.060108
95.0,1251,557.713158
180.0,2853,559.230222
400.0,3105,560.903362
385.0,2541,562.250652
235.0,2485,563.539972
185.0,2289,564.741018
100.0,1863,565.725884
55.0,1289,566.398248
200.0,2217,567.548167
300.0,2633,568.926312
585.0,2891,570.438844
265.0,3037,572.06119
25.0,1549,572.893915
165.0,2823,574.394079
510.0,2577,575.731822
