#{"t_start": 1754642765.804988, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
550.0,4489,1579.844388
600.0,4355,1582.143859
815.0,6157,1585.324676
600.0,4729,1587.834437
555.0,4156,1590.048418
545.0,3257,1591.737562
575.0,4038,1593.853733
520.0,3200,1595.521191
580.0,3294,1597.220575
525.0,3701,1599.150581
330.0,2412,1600.429515
310.0,2433,1601.74624
940.0,7067,1605.440746
600.0,3983,1607.553226
540.0,3567,1609.405327
575.0,3877,1611.491552
515.0,4117,1613.637583
395.0,2391,1614.914051
585.0,3995,1616.976291
700.0,3801,1618.996882
780.0,3614,1620.903297
485.0,3021,1622.517926
490.0,3025,1624.052379
405.0,3097,1625.718346
400.0,4125,1627.893544
655.0,3153,1629.54231
520.0,4382,1637.288638
615.0,3885,1639.295265
550.0,3807,1641.30096
770.0,4412,1643.635529
245.0,2786,1645.104601
465.0,3901,1647.185581
365.0,3045,1648.791286
775.0,3480,1650.56943
545.0,4483,1652.941452
600.0,3649,1654.825346
870.0,5925,1657.904116
905.0,6521,1661.334338
1130.0,6081,1664.519423
200.0,3079,1666.157276
515.0,3249,1667.84181
520.0,4075,1669.981525
470.0,3229,1671.652879
745.0,4569,1674.037659
555.0,3633,1675.913242
725.0,4009,1678.009882
805.0,5029,1680.63558
460.0,5413,1683.463962
420.0,2923,1684.987721
225.0,2379,1686.239432
315.0,2811,1687.724568
435.0,2403,1689.002022
465.0,3169,1695.630481
665.0,3281,1697.333547
570.0,3935,1699.381707
385.0,4049,1701.49173
235.0,3001,1703.101527
985.0,5839,1706.237845
395.0,3787,1708.257857
605.0,4061,1710.389953
570.0,4555,1712.780215
770.0,4401,1715.085699
550.0,3849,1717.14444
525.0,3962,1719.248512
690.0,4453,1721.544808
775.0,4877,1724.060108
600.0,4863,1726.630123
605.0,4499,1729.020944
545.0,3660,1730.948
315.0,2829,1732.477437
585.0,4738,1734.85085
550.0,5107,1737.474565
645.0,3415,1739.284984
540.0,4525,1741.634787
700.0,3527,1743.335312
720.0,3921,1745.189975
500.0,3873,1750.681717
340.0,2779,1752.00837
745.0,3607,1753.698443
490.0,4053,1755.588424
600.0,3897,1757.425287
415.0,3307,1758.956474
850.0,3545,1760.63161
600.0,3501,1762.262721
365.0,3133,1763.721117
1105.0,8425,1767.62038
550.0,3180,1769.124815
960.0,5813,1771.863925
515.0,3505,1773.548001
370.0,2177,1774.570575
535.0,2647,1775.849478
370.0,2509,1777.032817
315.0,2761,1778.354374
570.0,3973,1780.219174
320.0,3137,1781.697685
335.0,2668,1782.962929
575.0,3705,1784.706722
320.0,2391,1785.858075
575.0,4659,1788.032144
800.0,3713,1789.795084
550.0,3867,1791.612276
775.0,4037,1793.457814
390.0,2947,1794.836563
495.0,2595,1796.116765
885.0,6955,1803.411557
575.0,4506,1805.517122
415.0,3361,1807.082332
545.0,3748,1808.876298
410.0,2369,1810.032956
520.0,3593,1811.741053
315.0,2604,1812.967785
455.0,3329,1814.511638
510.0,3523,1816.174405
500.0,4451,1818.251551
460.0,3537,1819.896464
1390.0,5757,1822.625889
570.0,3315,1824.171621
320.0,2921,1825.568584
405.0,2462,1826.728959
230.0,2585,1827.950562
935.0,6242,1830.921482
570.0,4521,1832.991715
545.0,3827,1834.801562
835.0,4461,1836.907305
600.0,4149,1838.91328
605.0,4435,1840.953348
540.0,3881,1842.796359
775.0,3911,1844.636206
835.0,3815,1846.450485
570.0,4137,1848.359898
1015.0,8139,1858.10874
610.0,4109,1860.057857
300.0,2995,1861.458633
570.0,3215,1862.956437
770.0,3423,1864.573968
450.0,4029,1866.475687
320.0,2853,1867.806306
1120.0,5787,1870.58239
730.0,4666,1872.796633
600.0,3957,1874.642681
980.0,7280,1878.04912
515.0,4197,1880.029339
560.0,4079,1881.94664
305.0,2191,1883.017084
575.0,3154,1884.483562
655.0,3283,1886.031677
600.0,3943,1887.908499
1430.0,7253,1891.256422
685.0,3313,1892.842028
365.0,2988,1894.257897
770.0,3450,1895.87934
375.0,3471,1897.521322
740.0,4317,1899.519478
530.0,3960,1901.377585
720.0,4087,1908.106188
350.0,2412,1909.269774
470.0,3687,1911.021389
470.0,3621,1912.718456
485.0,3449,1914.321844
755.0,6329,1917.301877
265.0,2156,1918.337632
440.0,4423,1920.413505
575.0,3671,1922.159137
550.0,3945,1924.004546
570.0,4407,1926.03048
305.0,2333,1927.15395
410.0,3625,1928.854735
685.0,3871,1930.639287
495.0,3841,1932.427602
580.0,5336,1934.924399
475.0,4281,1936.924256
260.0,3271,1938.507197
910.0,6145,1941.36783
695.0,3297,1942.915147
690.0,3845,1944.736034
1065.0,7661,1948.359199
510.0,2975,1949.799949
360.0,2683,1951.054224
575.0,4188,1952.979047
715.0,4119,1954.891415
770.0,4739,1962.187399
800.0,4537,1964.292317
600.0,4911,1966.587042
525.0,4011,1968.5034
295.0,2680,1969.794925
605.0,3507,1971.422657
745.0,3820,1973.209008
515.0,4491,1975.313
800.0,4445,1977.380875
600.0,4963,1979.681175
545.0,4177,1981.605024
945.0,6993,1984.874899
555.0,3696,1986.571909
320.0,2687,1987.830142
1030.0,7105,1991.165861
335.0,4035,1993.067679
410.0,2263,1994.151579
680.0,4229,1996.147652
525.0,3803,1997.971311
545.0,4198,1999.932207
1155.0,9088,2004.158063
1155.0,8493,2012.966619
600.0,3789,2014.762921
625.0,3731,2016.508122
380.0,3756,2018.281133
715.0,4001,2020.15798
780.0,3289,2021.716088
465.0,3709,2023.465903
525.0,3669,2025.21402
480.0,3461,2026.861831
725.0,3835,2028.640589
475.0,4071,2030.547797
545.0,4987,2032.968462
910.0,6745,2036.142868
600.0,4521,2038.294753
450.0,4159,2040.272576
435.0,4052,2042.173309
570.0,4823,2044.457711
505.0,3899,2046.30561
1020.0,6841,2049.51847
600.0,4581,2051.629433
1185.0,8081,2055.429286
755.0,3865,2057.250057
770.0,4033,2059.169549
600.0,4369,2066.969497
425.0,3873,2068.837044
700.0,3697,2070.55876
660.0,5641,2073.143404
590.0,3337,2074.737918
570.0,3891,2076.565115
805.0,4323,2078.550009
300.0,2532,2079.763435
570.0,4178,2081.722365
970.0,6261,2084.685496
440.0,3385,2086.26667
485.0,3359,2087.857463
630.0,3845,2089.646264
445.0,3465,2091.307063
820.0,5651,2093.950015
415.0,3091,2095.405105
555.0,4255,2097.386526
895.0,6549,2100.447428
585.0,4023,2102.324793
525.0,4320,2104.322251
965.0,6399,2107.36168
615.0,4345,2109.477011
485.0,3501,2111.132343
450.0,2923,2112.500069
